trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,18.0866653569974,18.574862622990622,space,4.515750514008687,1,001,2022-12-19_09h06.25.147,eksp_dane,2022.2.4,None,
1,0,1,0,22.61541345200385,23.10276575399621,space,0.8152216769958613,1,001,2022-12-19_09h06.25.147,eksp_dane,2022.2.4,None,
2,0,2,0,23.44104050900205,23.919414686999517,space,0.7647930130042369,1,001,2022-12-19_09h06.25.147,eksp_dane,2022.2.4,None,
3,0,3,0,24.221761672990397,24.70258901399211,space,0.7174732220009901,1,001,2022-12-19_09h06.25.147,eksp_dane,2022.2.4,None,
4,0,4,0,24.955571215003147,25.43597106699599,space,0.7394063740066485,1,001,2022-12-19_09h06.25.147,eksp_dane,2022.2.4,None,
5,0,5,0,25.704088839993346,26.185889959000633,space,0.7148504299984779,1,001,2022-12-19_09h06.25.147,eksp_dane,2022.2.4,None,
6,0,6,0,26.43185993899533,26.915274682003655,space,0.6966084570012754,1,001,2022-12-19_09h06.25.147,eksp_dane,2022.2.4,None,
7,0,7,0,27.137450148002245,27.619300455000484,space,0.7569363929942483,1,001,2022-12-19_09h06.25.147,eksp_dane,2022.2.4,None,
8,0,8,0,27.90426035299606,28.385844479998923,space,0.7268386189971352,1,001,2022-12-19_09h06.25.147,eksp_dane,2022.2.4,None,
9,0,9,0,28.637384608999128,29.1188031030033,space,0.69086228699598,1,001,2022-12-19_09h06.25.147,eksp_dane,2022.2.4,None,
