,pobudzenie,walencja,wynik
0,niski,pozytywny,2.1900906023383753
1,niski,pozytywny,0.9505044216772819
2,niski,pozytywny,0.54202690597247
3,niski,pozytywny,1.3011193172072333
4,niski,pozytywny,2.52451321834736
5,niski,pozytywny,-0.1797114503826105
6,niski,pozytywny,0.6837309104996561
7,niski,pozytywny,0.778755184525511
8,niski,pozytywny,1.9925884960927376
9,niski,pozytywny,0.7899525232663861
10,niski,pozytywny,0.2156490687365673
11,niski,pozytywny,0.9350882883196329
12,niski,pozytywny,1.615312051424635
13,niski,pozytywny,0.7981440922786269
14,niski,pozytywny,0.41653717530361045
15,niski,pozytywny,1.6023745100589164
16,niski,pozytywny,1.7994614597510945
17,niski,pozytywny,0.9924653634883597
18,niski,pozytywny,2.5292938942124703
19,niski,pozytywny,1.7897110273050627
20,niski,pozytywny,0.6090974913934555
21,niski,pozytywny,0.24479078546029653
22,niski,pozytywny,3.844795898863262
23,niski,pozytywny,1.3297632405914082
24,niski,pozytywny,0.49723898967962044
25,niski,pozytywny,1.8581920752245231
26,niski,pozytywny,1.4574669674344194
27,niski,pozytywny,0.20860817328467707
28,niski,pozytywny,2.28999295114894
29,niski,pozytywny,1.3410798479721024
30,niski,negatywny,7.044482716743636
31,niski,negatywny,6.38706558995574
32,niski,negatywny,5.610098441544527
33,niski,negatywny,6.607597058685414
34,niski,negatywny,7.182869895252193
35,niski,negatywny,6.028192139762056
36,niski,negatywny,7.539010120868687
37,niski,negatywny,5.688083960463879
38,niski,negatywny,7.7444217090680585
39,niski,negatywny,7.160054273814772
40,niski,negatywny,8.300145411367408
41,niski,negatywny,8.213201063363588
42,niski,negatywny,6.493290978009747
43,niski,negatywny,6.79457053132983
44,niski,negatywny,6.421830289658246
45,niski,negatywny,6.838330130202249
46,niski,negatywny,5.878038417005871
47,niski,negatywny,5.928254172261903
48,niski,negatywny,7.786216233514202
49,niski,negatywny,7.418902215849859
50,niski,negatywny,8.05617875760451
51,niski,negatywny,6.37020274473181
52,niski,negatywny,7.287527512185295
53,niski,negatywny,5.112740217415022
54,niski,negatywny,7.257602986149129
55,niski,negatywny,7.672061986350271
56,niski,negatywny,8.56051911022557
57,niski,negatywny,8.42625790869154
58,niski,negatywny,5.839383500420821
59,niski,negatywny,5.762939846002802
60,wysoki,pozytywny,5.304649382923662
61,wysoki,pozytywny,2.752083532142468
62,wysoki,pozytywny,5.307199748118549
63,wysoki,pozytywny,4.777333557184604
64,wysoki,pozytywny,3.0504981242108666
65,wysoki,pozytywny,3.88609378962395
66,wysoki,pozytywny,4.22146775796445
67,wysoki,pozytywny,1.926719160179697
68,wysoki,pozytywny,2.017557954223644
69,wysoki,pozytywny,3.9672788559561027
70,wysoki,pozytywny,3.8340395172183395
71,wysoki,pozytywny,3.9791443056297426
72,wysoki,pozytywny,5.11338649883095
73,wysoki,pozytywny,3.270016023122743
74,wysoki,pozytywny,2.494251193095133
75,wysoki,pozytywny,5.341044777837472
76,wysoki,pozytywny,5.505895344236746
77,wysoki,pozytywny,6.203782065330011
78,wysoki,pozytywny,2.698294491731337
79,wysoki,pozytywny,4.386784624538625
80,wysoki,pozytywny,4.1683310160571745
81,wysoki,pozytywny,3.6921731914561184
82,wysoki,pozytywny,4.988117356076894
83,wysoki,pozytywny,3.138389015813768
84,wysoki,pozytywny,3.759391962784609
85,wysoki,pozytywny,3.8325756414699854
86,wysoki,pozytywny,4.465971923790772
87,wysoki,pozytywny,3.1766065633832477
88,wysoki,pozytywny,2.601685285604865
89,wysoki,pozytywny,2.467234816293621
90,wysoki,negatywny,3.983304118014927
91,wysoki,negatywny,3.984305348930811
92,wysoki,negatywny,3.4679980205471583
93,wysoki,negatywny,5.331424862359665
94,wysoki,negatywny,5.925785924137584
95,wysoki,negatywny,3.342735777943288
96,wysoki,negatywny,4.905314165576759
97,wysoki,negatywny,3.5065930176566935
98,wysoki,negatywny,5.151998964769248
99,wysoki,negatywny,4.467902961759443
100,wysoki,negatywny,3.4523514783322296
101,wysoki,negatywny,3.2795297802181036
102,wysoki,negatywny,4.000087838335757
103,wysoki,negatywny,2.8303837117977664
104,wysoki,negatywny,3.2906095384540572
105,wysoki,negatywny,3.90602744518889
106,wysoki,negatywny,3.63093028109351
107,wysoki,negatywny,4.783605354146622
108,wysoki,negatywny,2.6693288867513183
109,wysoki,negatywny,4.038023142220275
110,wysoki,negatywny,4.127086497913503
111,wysoki,negatywny,4.611365951227899
112,wysoki,negatywny,4.529661845320316
113,wysoki,negatywny,4.359530442443929
114,wysoki,negatywny,3.9393692671047016
115,wysoki,negatywny,4.902711415501901
116,wysoki,negatywny,4.285015088842243
117,wysoki,negatywny,4.836243023836438
118,wysoki,negatywny,3.7628968072835627
119,wysoki,negatywny,3.280453270034363
